pl_name,hostname,disc_year,disc_facility,sy_dist,ra,dec,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_orblper,pl_orbtper,pl_tranmid,pl_rade,pl_bmasse,pl_eqt,pl_insol,st_rad,st_teff
PSR J1719-1438 b,PSR J1719-1438,2011.0,Parkes Observatory,1200.0,259.7919708,-14.6336,0.090706293,0.0044,0.06,,,,,,382.8,,,,4500.0
KOI-1843.03,Kepler-974,2013.0,Kepler,134.311,285.0131082,40.2209547,0.1768913,0.005,,72.0,,,2454964.5523,0.61,8.0,1654.0,,0.45,3584.0
K2-137 b,K2-137,2017.0,K2,98.8765,186.870426,-6.1952168,0.179719,0.0058,0.0,93.1,,,2457639.27571,0.64,158.915,1471.0,,0.29,3697.0
KOI-55 b,KOI-55,2011.0,Kepler,1231.02,296.3561853,41.0927315,0.240104,0.006,,65.0,,,,0.759,0.44,,,0.203,27730.0
K2-141 b,K2-141,2018.0,K2,61.8736,350.9170464,-1.1891827,0.2803244,0.00747,0.0,86.3,90.0,,2457744.0716,1.51,4.97,2103.0,3260.0,0.681,4570.0
GJ 367 b,GJ 367,2021.0,Transiting Exoplanet Survey Satellite (TESS),9.41263,146.121464,-45.7790165,0.3219225,0.00709,0.06,79.89,66.0,,2458544.13635,0.699,0.633,1365.0,579.0,0.458,3522.0
PSR J2322-2650 b,PSR J2322-2650,2017.0,Parkes Observatory,230.0,350.6443481,-26.8495331,0.322963997,0.0102,0.0017,,,,,13.9,252.643067,,,,
KOI-55 c,KOI-55,2011.0,Kepler,1231.02,296.3561853,41.0927315,0.342887,0.0076,,65.0,,,,0.867,0.655,,,0.203,27730.0
TOI-2260 b,TOI-2260,2022.0,Transiting Exoplanet Survey Satellite (TESS),101.251,247.6669998,49.0467891,0.3524728,0.0097,,,,,2458928.239,1.62,3.26,2609.0,1844.98,0.94,5534.0
Kepler-78 b,Kepler-78,2013.0,Kepler,124.376,293.7419543,44.4482521,0.35500745,0.00901,0.0,75.2,90.0,2456464.1575,2454953.95984,1.201,1.68,2223.0,4070.0,0.7475,5058.0
K2-157 b,K2-157,2018.0,K2,298.373,183.7514959,-5.7820178,0.3652575,0.00962,,89.2,,,2457582.822,0.935,1.14,2432.0,6660.0,0.86,5334.0
K2-131 b,K2-131,2017.0,K2,152.509,182.751404,-9.7652392,0.3693038,0.00936,0.0,85.0,,,2457582.936,1.69,7.9,2223.0,4070.0,0.7595,5120.0
TOI-2445 b,TOI-2445,2022.0,Transiting Exoplanet Survey Satellite (TESS),48.582,43.3161555,0.0523366,0.3711281,0.0064,,,,,2459144.5697,1.25,2.1,1060.0,204.4874,0.27,3333.0
K2-22 b,K2-22,2015.0,K2,243.836,169.4827046,2.6190363,0.381073,0.009,0.19,90.6,46.7,,2456846.94318,2.3,444.962,2100.0,114.0,0.58,3879.0
TOI-4527.01,TOI-4527,2024.0,Transiting Exoplanet Survey Satellite (TESS),18.1037,19.4722574,5.4711996,0.3994445,0.008332353,,,,,2459474.200243,0.9086617,0.689,1362.93,571.5072,0.485948,3702.0
TOI-1442 b,TOI-1442,2022.0,Transiting Exoplanet Survey Satellite (TESS),41.1659,287.2921006,74.1742762,0.4090677,0.0071,,,,,2458683.4523,1.17,1.71,1072.0,207.0242,0.31,3330.0
KOI-4777.01,KOI-4777,2022.0,Kepler,172.245,287.2621474,42.0322257,0.412,0.008,0.0,87.0,90.0,,2454965.219,0.51,99.2,1180.0,320.0,0.4,3515.0
TOI-1798.02,TOI-1798,2024.0,Transiting Exoplanet Survey Satellite (TESS),113.181,211.0939367,46.5192825,0.437811822,0.010789,0.0,,90.0,,2459691.3135,1.464,5.6,1935.83,3345.44,0.78,5165.0
TOI-561 b,TOI-561,2020.0,Transiting Exoplanet Survey Satellite (TESS),85.799,148.1851516,6.216103,0.4465697,0.01064,0.0,87.0,0.0,,2459317.75002,1.397,2.02,2319.0,4709.0,0.843,5342.0
Kepler-42 c,Kepler-42,2011.0,Kepler,40.0595,292.2196,44.6173667,0.45328509,0.006,0.0,81.11,,,2454966.86952,0.73,60.337,720.0,82.125,0.17,3068.0
LHS 3844 b,LHS 3844,2019.0,Transiting Exoplanet Survey Satellite (TESS),14.8846,340.4962038,-69.1721081,0.46292913,0.00622,,88.5,,,2458325.72558,1.303,2.25,805.0,70.1,0.189,3036.0
TOI-1444 b,TOI-1444,2021.0,Transiting Exoplanet Survey Satellite (TESS),125.463,305.4749252,70.9437054,0.4702743,0.0116,0.0,82.0,90.0,,2458711.3675,1.41792246,3.58,2130.02,5028.6263,0.9105,5460.0
TOI-431 b,TOI-431,2021.0,Transiting Exoplanet Survey Satellite (TESS),32.5686,83.2692502,-26.7238698,0.490047,0.0113,0.0,84.3,0.0,,2458627.538,1.28,3.07,1862.0,2120.4475,0.731,4850.0
K2-223 b,K2-223,2018.0,K2,198.604,185.306183,-10.2820915,0.50557,0.0127,,89.7,,,2457637.66396,0.89,0.64,2271.0,,1.0,5859.0
GJ 1252 b,GJ 1252,2020.0,Transiting Exoplanet Survey Satellite (TESS),20.373,306.9286462,-56.4622865,0.5182331,0.00915,0.0,85.0,90.0,,2458668.09744,1.193,1.32,1089.0,233.0,0.391,3458.0
Kepler-1932 b,Kepler-1932,2021.0,Kepler,713.733,285.3314903,41.0638435,0.524177015,0.0123,0.0,86.42,,,2454964.6014,1.51482218,2.91,1891.0,2799.9,0.815,5278.0
Kepler-990 c,Kepler-990,2016.0,Kepler,802.163,297.9381813,46.8813194,0.538354308,0.01232,0.0,82.87,,,2454964.64931,1.53,2.96,2386.0,5272.4,1.08,5948.0
